#
#  Unified Canadian Aboriginal Syllabics:  U+1400 - U+167F
#
#  UCAS has 85 consonant base families in 21 vowles and 21 forms.
#
#  UCAS has:
#    85 syllabic classes in 21 forms.
#    44 consonant bases in 22 vowels.
#
1401;  CANADIAN SYLLABICS E;  1401;  1;  ;  e;  
1402;  CANADIAN SYLLABICS AAI;  1401;  2;  ;  aai;  
1403;  CANADIAN SYLLABICS I;  1401;  3;  ;  i;  
1404;  CANADIAN SYLLABICS II;  1401;  4;  ;  i<02D0>;  
1405;  CANADIAN SYLLABICS O;  1401;  5;  ;  o;  
1406;  CANADIAN SYLLABICS OO;  1401;  6;  ;  o<02D0>;  
1407;  CANADIAN SYLLABICS Y-CREE OO;  1401;  6;  ;  o<02D0>;  
1408;  CANADIAN SYLLABICS CARRIER EE;  1401;  19;  ;  e<02D0>;  
1409;  CANADIAN SYLLABICS CARRIER I;  1401;  3;  ;  i;  
140A;  CANADIAN SYLLABICS A;  1401;  7;  ;  a;  
140B;  CANADIAN SYLLABICS AA;  1401;  8;  ;  a<02D0>;  
140C;  CANADIAN SYLLABICS WE;  1401;  1;  w;  e;  
140D;  CANADIAN SYLLABICS WEST-CREE WE;  1401;  1;  w;  e;  
140E;  CANADIAN SYLLABICS WI;  1401;  3;  w;  i;  
140F;  CANADIAN SYLLABICS WEST-CREE WI;  1401;  3;  w;  i;  
1410;  CANADIAN SYLLABICS WII;  1401;  4;  w;  i<02D0>;  
1411;  CANADIAN SYLLABICS WEST-CREE WII;  1401;  4;  w;  i<02D0>;  
1412;  CANADIAN SYLLABICS WO;  1401;  5;  w;  o;  
1413;  CANADIAN SYLLABICS WEST-CREE WO;  1401;  5;  w;  o;  
1414;  CANADIAN SYLLABICS WOO;  1401;  6;  w;  o<02D0>;  
1415;  CANADIAN SYLLABICS WEST-CREE WOO;  1401;  6;  w;  o<02D0>;  
1416;  CANADIAN SYLLABICS NASKAPI WOO;  1401;  6;  w;  o<02D0>;  
1417;  CANADIAN SYLLABICS WA;  1401;  7;  w;  a;  
1418;  CANADIAN SYLLABICS WEST-CREE WA;  1401;  7;  w;  a;  
1419;  CANADIAN SYLLABICS WAA;  1401;  8;  w;  a<02D0>;  
141A;  CANADIAN SYLLABICS WEST-CREE WAA;  1401;  8;  w;  a<02D0>;  
141B;  CANADIAN SYLLABICS NASKAPI WAA;  1401;  8;  w;  a<02D0>;  
141C;  CANADIAN SYLLABICS AI;  1401;  17;  ;  ai;  
141D;  CANADIAN SYLLABICS Y-CREE W;  1401;  16;  w;  
142B;  CANADIAN SYLLABICS EN;  1401;  1;  ;  e;  n;  
142C;  CANADIAN SYLLABICS IN;  1401;  3;  ;  i;  n;  
142D;  CANADIAN SYLLABICS ON;  1401;  5;  ;  o;  n;  
142E;  CANADIAN SYLLABICS AN;  1401;  7;  ;  a;  n;  
142F;  CANADIAN SYLLABICS PE;  142F;  1;  p;  e;  
1430;  CANADIAN SYLLABICS PAAI;  142F;  2;  p;  aai;  
1431;  CANADIAN SYLLABICS PI;  142F;  3;  p;  i;  
1432;  CANADIAN SYLLABICS PII;  142F;  4;  p;  i<02D0>;  
1433;  CANADIAN SYLLABICS PO;  142F;  5;  p;  o;  
1434;  CANADIAN SYLLABICS POO;  142F;  6;  p;  o<02D0>;  
1435;  CANADIAN SYLLABICS Y-CREE POO;  142F;  6;  p;  o<02D0>;  
1436;  CANADIAN SYLLABICS CARRIER HEE;  1436;  19;  h;  e<02D0>;  
1437;  CANADIAN SYLLABICS CARRIER HI;  1436;  3;  h;  i;  
1438;  CANADIAN SYLLABICS PA;  1438;  7;  p;  a;  
1439;  CANADIAN SYLLABICS PAA;  1438;  8;  p;  a<02D0>;  
143A;  CANADIAN SYLLABICS PWE;  1438;  9;  p;  <02B7>e;  
143B;  CANADIAN SYLLABICS WEST-CREE PWE;  1438;  9;  p;  <02B7>e;  
143C;  CANADIAN SYLLABICS PWI;  1438;  10;  p;  <02B7>i;  
143D;  CANADIAN SYLLABICS WEST-CREE PWI;  1438;  10;  p;  <02B7>i;  
143E;  CANADIAN SYLLABICS PWII;  1438;  11;  p;  <02B7>i<02D0>;  
143F;  CANADIAN SYLLABICS WEST-CREE PWII;  1438;  11;  p;  <02B7>i<02D0>;  
1440;  CANADIAN SYLLABICS PWO;  1438;  12;  p;  <02B7>o;  
1441;  CANADIAN SYLLABICS WEST-CREE PWO;  1438;  12;  p;  <02B7>o;  
1442;  CANADIAN SYLLABICS PWOO;  1438;  13;  p;  <02B7>o<02D0>;  
1443;  CANADIAN SYLLABICS WEST-CREE PWOO;  1438;  13;  p;  <02B7>o<02D0>;  
1444;  CANADIAN SYLLABICS PWA;  1438;  14;  p;  <02B7>a;  
1445;  CANADIAN SYLLABICS WEST-CREE PWA;  1438;  14;  p;  <02B7>a;  
1446;  CANADIAN SYLLABICS PWAA;  1438;  15;  p;  <02B7>a<02D0>;  
1447;  CANADIAN SYLLABICS WEST-CREE PWAA;  1438;  15;  p;  <02B7>a<02D0>;  
1448;  CANADIAN SYLLABICS Y-CREE PWAA;  1438;  15;  p;  <02B7>a<02D0>;  
1449;  CANADIAN SYLLABICS P;  1438;  16;  p;  
144A;  CANADIAN SYLLABICS WEST-CREE P;  1438;  16;  p;  
144B;  CANADIAN SYLLABICS CARRIER H;  144B;  16;  h;  
144C;  CANADIAN SYLLABICS TE;  144C;  1;  t;  e;  
144D;  CANADIAN SYLLABICS TAAI;  144C;  2;  t;  aai;  
144E;  CANADIAN SYLLABICS TI;  144C;  3;  t;  i;  
144F;  CANADIAN SYLLABICS TII;  144C;  4;  t;  i<02D0>;  
1450;  CANADIAN SYLLABICS TO;  144C;  5;  t;  o;  
1451;  CANADIAN SYLLABICS TOO;  144C;  6;  t;  o<02D0>;  
1452;  CANADIAN SYLLABICS Y-CREE TOO;  144C;  6;  t;  o<02D0>;  
1453;  CANADIAN SYLLABICS CARRIER DEE;  1453;  19;  d;  e<02D0>;  
1454;  CANADIAN SYLLABICS CARRIER DI;  1453;  3;  d;  i;  
1455;  CANADIAN SYLLABICS TA;  1455;  7;  t;  a;  
1456;  CANADIAN SYLLABICS TAA;  1455;  8;  t;  a<02D0>;  
1457;  CANADIAN SYLLABICS TWE;  1455;  9;  t;  <02B7>e;  
1458;  CANADIAN SYLLABICS WEST-CREE TWE;  1455;  9;  t;  <02B7>e;  
1459;  CANADIAN SYLLABICS TWI;  1455;  10;  t;  <02B7>i;  
145A;  CANADIAN SYLLABICS WEST-CREE TWI;  1455;  10;  t;  <02B7>i;  
145B;  CANADIAN SYLLABICS TWII;  1455;  11;  t;  <02B7>i<02D0>;  
145C;  CANADIAN SYLLABICS WEST-CREE TWII;  1455;  11;  t;  <02B7>i<02D0>;  
145D;  CANADIAN SYLLABICS TWO;  1455;  12;  t;  <02B7>o;  
145E;  CANADIAN SYLLABICS WEST-CREE TWO;  1455;  12;  t;  <02B7>o;  
145F;  CANADIAN SYLLABICS TWOO;  1455;  13;  t;  <02B7>o<02D0>;  
1460;  CANADIAN SYLLABICS WEST-CREE TWOO;  1455;  13;  t;  <02B7>o<02D0>;  
1461;  CANADIAN SYLLABICS TWA;  1455;  14;  t;  <02B7>a;  
1462;  CANADIAN SYLLABICS WEST-CREE TWA;  1455;  14;  t;  <02B7>a;  
1463;  CANADIAN SYLLABICS TWAA;  1455;  15;  t;  <02B7>a<02D0>;  
1464;  CANADIAN SYLLABICS WEST-CREE TWAA;  1455;  15;  t;  <02B7>a<02D0>;  
1465;  CANADIAN SYLLABICS NASKAPI TWAA;  1455;  15;  t;  <02B7>a<02D0>;  
1466;  CANADIAN SYLLABICS T;  1455;  16;  t;  
1467;  CANADIAN SYLLABICS TTE;  1467;  1;  tt;  e;  
1468;  CANADIAN SYLLABICS TTI;  1467;  3;  tt;  i;  
1469;  CANADIAN SYLLABICS TTO;  1467;  5;  tt;  o;  
146A;  CANADIAN SYLLABICS TTA;  1467;  7;  tt;  a;  
146B;  CANADIAN SYLLABICS KE;  146B;  1;  k;  e;  
146C;  CANADIAN SYLLABICS KAAI;  146B;  2;  k;  aai;  
