#
#  Unified Canadian Aboriginal Syllabics:  U+1400 - U+167F
#
#  UCAS has 85 consonant base families
#
#  UCAS has 18 vowel forms:
#
#     E   EE   A   AA  AI  AAI  I  II    O   OO 
#    WE  WEE  WA  WAA          WI  WII  WO  WOO
#
1401;  CANADIAN SYLLABICS E;  1401; 1;  ;  E;  ; 
1402;  CANADIAN SYLLABICS AAI;  1401; 2;  ;  AAI;  ; 
1403;  CANADIAN SYLLABICS I;  1401; 3;  ;  I;  ; 
1404;  CANADIAN SYLLABICS II;  1401; 4;  ;  II;  ; 
1405;  CANADIAN SYLLABICS O;  1401; 5;  ;  O;  ; 
1406;  CANADIAN SYLLABICS OO;  1401; 6;  ;  OO;  ; 
1407;  CANADIAN SYLLABICS Y-CREE OO;  1401; 7;  ;  OO;  ; 
1408;  CANADIAN SYLLABICS CARRIER EE;  1401; 8;  ;  EE;  ; 
1409;  CANADIAN SYLLABICS CARRIER I;  1401; 9;  ;  I;  ; 
140A;  CANADIAN SYLLABICS A;  1401; 10;  ;  A;  ; 
140B;  CANADIAN SYLLABICS AA;  1401; 11;  ;  AA;  ; 
140C;  CANADIAN SYLLABICS WE;  1401; 12;  W;  E;  ; 
140D;  CANADIAN SYLLABICS WEST-CREE WE;  1401; 13;  W;  E;  ; 
140E;  CANADIAN SYLLABICS WI;  1401; 14;  W;  I;  ; 
140F;  CANADIAN SYLLABICS WEST-CREE WI;  1401; 15;  W;  I;  ; 
1410;  CANADIAN SYLLABICS WII;  1401; 16;  W;  II;  ; 
1411;  CANADIAN SYLLABICS WEST-CREE WII;  1401; 17;  W;  II;  ; 
1412;  CANADIAN SYLLABICS WO;  1401; 18;  W;  O;  ; 
1413;  CANADIAN SYLLABICS WEST-CREE WO;  1401; 19;  W;  O;  ; 
1414;  CANADIAN SYLLABICS WOO;  1401; 20;  W;  OO;  ; 
1415;  CANADIAN SYLLABICS WEST-CREE WOO;  1401; 21;  W;  OO;  ; 
1416;  CANADIAN SYLLABICS NASKAPI WOO;  1401; 22;  W;  OO;  ; 
1417;  CANADIAN SYLLABICS WA;  1401; 23;  W;  A;  ; 
1418;  CANADIAN SYLLABICS WEST-CREE WA;  1401; 24;  W;  A;  ; 
1419;  CANADIAN SYLLABICS WAA;  1401; 25;  W;  AA;  ; 
141A;  CANADIAN SYLLABICS WEST-CREE WAA;  1401; 26; W;  AA;  ; 
141B;  CANADIAN SYLLABICS NASKAPI WAA;  1401; 27; W;  AA;  ; 
141C;  CANADIAN SYLLABICS AI;  1401; 28;  ;  AI;  ; 
141D;  CANADIAN SYLLABICS Y-CREE W;  1401; 29;  W;  ;  ; 
142B;  CANADIAN SYLLABICS EN;  1401; 30;  ; E; N; 
142C;  CANADIAN SYLLABICS IN;  1401; 31;  ; I; N; 
142D;  CANADIAN SYLLABICS ON;  1401; 32;  ; O; N; 
142E;  CANADIAN SYLLABICS AN;  1401; 33;  ; A; N; 
142F;  CANADIAN SYLLABICS PE;  142F; 1;  P;  E;  ; 
1430;  CANADIAN SYLLABICS PAAI;  142F; 2;  P;  AAI;  ; 
1431;  CANADIAN SYLLABICS PI;  142F; 3;  P;  I;  ; 
1432;  CANADIAN SYLLABICS PII;  142F; 4;  P;  II;  ; 
1433;  CANADIAN SYLLABICS PO;  142F; 5;  P;  O;  ; 
1434;  CANADIAN SYLLABICS POO;  142F; 6;  P;  OO;  ; 
1435;  CANADIAN SYLLABICS Y-CREE POO;  142F; 7;  P;  OO;  ; 
1436;  CANADIAN SYLLABICS CARRIER HEE;  1436; 1;  H;  EE;  ; 
1437;  CANADIAN SYLLABICS CARRIER HI;  1436; 2;  H;  I;  ; 
1438;  CANADIAN SYLLABICS PA;  1438; 1;  P;  A;  ; 
1439;  CANADIAN SYLLABICS PAA;  1438; 2;  P;  AA;  ; 
143A;  CANADIAN SYLLABICS PWE;  1438; 3;  P;  WE;  ; 
143B;  CANADIAN SYLLABICS WEST-CREE PWE;  1438; 4;  P;  WE;  ; 
143C;  CANADIAN SYLLABICS PWI;  1438; 5;  P;  WI;  ; 
143D;  CANADIAN SYLLABICS WEST-CREE PWI;  1438; 6;  P;  WI;  ; 
143E;  CANADIAN SYLLABICS PWII;  1438; 7;  P;  WII;  ; 
143F;  CANADIAN SYLLABICS WEST-CREE PWII;  1438; 8;  P;  WII;  ; 
1440;  CANADIAN SYLLABICS PWO;  1438; 9;  P;  WO;  ; 
1441;  CANADIAN SYLLABICS WEST-CREE PWO;  1438; 10;  P;  WO;  ; 
1442;  CANADIAN SYLLABICS PWOO;  1438; 11;  P;  WOO;  ; 
1443;  CANADIAN SYLLABICS WEST-CREE PWOO;  1438; 12;  P;  WOO;  ; 
1444;  CANADIAN SYLLABICS PWA;  1438; 13;  P;  WA;  ; 
1445;  CANADIAN SYLLABICS WEST-CREE PWA;  1438; 14;  P;  WA;  ; 
1446;  CANADIAN SYLLABICS PWAA;  1438; 15;  P;  WAA;  ; 
1447;  CANADIAN SYLLABICS WEST-CREE PWAA;  1438; 16;  P;  WAA;  ; 
1448;  CANADIAN SYLLABICS Y-CREE PWAA;  1438; 17;  P;  WAA;  ; 
1449;  CANADIAN SYLLABICS P;  1438; 18;  P;  ;  ; 
144A;  CANADIAN SYLLABICS WEST-CREE P;  1438; 19;  P;  ;  ; 
144B;  CANADIAN SYLLABICS CARRIER H;  144B; 1;  H;  ;  ; 
144C;  CANADIAN SYLLABICS TE;  144C; 1;  T;  E;  ; 
144D;  CANADIAN SYLLABICS TAAI;  144C; 2;  T;  AAI;  ; 
144E;  CANADIAN SYLLABICS TI;  144C; 3;  T;  I;  ; 
144F;  CANADIAN SYLLABICS TII;  144C; 4;  T;  II;  ; 
1450;  CANADIAN SYLLABICS TO;  144C; 5;  T;  O;  ; 
1451;  CANADIAN SYLLABICS TOO;  144C; 6;  T;  OO;  ; 
1452;  CANADIAN SYLLABICS Y-CREE TOO;  144C; 7;  T;  OO;  ; 
1453;  CANADIAN SYLLABICS CARRIER DEE;  1453; 1;  D;  EE;  ; 
1454;  CANADIAN SYLLABICS CARRIER DI;  1453; 2;  D;  I;  ; 
1455;  CANADIAN SYLLABICS TA;  1455; 1;  T;  A;  ; 
1456;  CANADIAN SYLLABICS TAA;  1455; 2;  T;  AA;  ; 
1457;  CANADIAN SYLLABICS TWE;  1455; 3;  T;  WE;  ; 
1458;  CANADIAN SYLLABICS WEST-CREE TWE;  1455; 4;  T;  WE;  ; 
1459;  CANADIAN SYLLABICS TWI;  1455; 5;  T;  WI;  ; 
145A;  CANADIAN SYLLABICS WEST-CREE TWI;  1455; 6;  T;  WI;  ; 
145B;  CANADIAN SYLLABICS TWII;  1455; 7;  T;  WII;  ; 
145C;  CANADIAN SYLLABICS WEST-CREE TWII;  1455; 8;  T;  WII;  ; 
145D;  CANADIAN SYLLABICS TWO;  1455; 9;  T;  WO;  ; 
145E;  CANADIAN SYLLABICS WEST-CREE TWO;  1455; 10;  T;  WO;  ; 
145F;  CANADIAN SYLLABICS TWOO;  1455; 11;  T;  WOO;  ; 
1460;  CANADIAN SYLLABICS WEST-CREE TWOO;  1455; 12;  T;  WOO;  ; 
1461;  CANADIAN SYLLABICS TWA;  1455; 13;  T;  WA;  ; 
1462;  CANADIAN SYLLABICS WEST-CREE TWA;  1455; 14;  T;  WA;  ; 
1463;  CANADIAN SYLLABICS TWAA;  1455; 15;  T;  WAA;  ; 
1464;  CANADIAN SYLLABICS WEST-CREE TWAA;  1455; 16;  T;  WAA;  ; 
1465;  CANADIAN SYLLABICS NASKAPI TWAA;  1455; 17;  T;  WAA;  ; 
1466;  CANADIAN SYLLABICS T;  1455; 18;  T;  ;  ; 
1467;  CANADIAN SYLLABICS TTE;  1467; 1;  TT;  E;  ; 
1468;  CANADIAN SYLLABICS TTI;  1467; 2;  TT;  I;  ; 
1469;  CANADIAN SYLLABICS TTO;  1467; 3;  TT;  O;  ; 
146A;  CANADIAN SYLLABICS TTA;  1467; 4;  TT;  A;  ; 
146B;  CANADIAN SYLLABICS KE;  146B; 1;  K;  E;  ; 
