#
#  Katakana:  U+30A1 - U+30FA
#
#  Katakana has:
#    17 syllabic classes in 5 forms.
#    19 consonant bases in 7 vowels.
#
30A1;  KATAKANA LETTER SMALL A;  30A2;  1;  ;  a;  ;  
30A2;  KATAKANA LETTER A;  30A2;  1;  ;  a;  ;  
30A3;  KATAKANA LETTER SMALL I;  30A2;  2;  ;  i;  ;  
30A4;  KATAKANA LETTER I;  30A2;  2;  ;  i;  ;  
30A5;  KATAKANA LETTER SMALL U;  30A2;  3;  ;  u;  ;  
30A6;  KATAKANA LETTER U;  30A2;  3;  ;  u;  ;  
30A7;  KATAKANA LETTER SMALL E;  30A2;  4;  ;  e;  ;  
30A8;  KATAKANA LETTER E;  30A2;  4;  ;  e;  ;  
30A9;  KATAKANA LETTER SMALL O;  30A2;  5;  ;  o;  ;  
30AA;  KATAKANA LETTER O;  30A2;  5;  ;  o;  ;  
30AB;  KATAKANA LETTER KA;  30AB;  1;  k;  a;  ;  
30AC;  KATAKANA LETTER GA;  30AC;  1;  g;  a;  ;  
30AD;  KATAKANA LETTER KI;  30AB;  2;  k;  i;  ;  
30AE;  KATAKANA LETTER GI;  30AC;  2;  g;  i;  ;  
30AF;  KATAKANA LETTER KU;  30AB;  3;  k;  u;  ;  
30B0;  KATAKANA LETTER GU;  30AC;  3;  g;  u;  ;  
30B1;  KATAKANA LETTER KE;  30AB;  4;  k;  e;  ;  
30B2;  KATAKANA LETTER GE;  30AC;  4;  g;  e;  ;  
30B3;  KATAKANA LETTER KO;  30AB;  5;  k;  o;  ;  
30B4;  KATAKANA LETTER GO;  30AC;  5;  g;  o;  ;  
30B5;  KATAKANA LETTER SA;  30B5;  1;  s;  a;  ;  
30B6;  KATAKANA LETTER ZA;  30B6;  1;  z;  a;  ;  
30B7;  KATAKANA LETTER SI;  30B5;  2;  s;  <02B8>i;  ;  
30B8;  KATAKANA LETTER ZI;  30B6;  2;  z;  <02B8>i;  ;  
30B9;  KATAKANA LETTER SU;  30B5;  3;  s;  u;  ;  
30BA;  KATAKANA LETTER ZU;  30B6;  3;  z;  u;  ;  
30BB;  KATAKANA LETTER SE;  30B5;  4;  s;  e;  ;  
30BC;  KATAKANA LETTER ZE;  30B6;  4;  z;  e;  ;  
30BD;  KATAKANA LETTER SO;  30B5;  5;  s;  o;  ;  
30BE;  KATAKANA LETTER ZO;  30B6;  5;  z;  o;  ;  
30BF;  KATAKANA LETTER TA;  30BF;  1;  t;  a;  ;  
30C0;  KATAKANA LETTER DA;  30C0;  1;  d;  a;  ;  
30C1;  KATAKANA LETTER TI;  30BF;  2;  <02A6>;  <02B8>i;  ;  
30C2;  KATAKANA LETTER DI;  30C0;  2;  <02A3>;  <02B8>i;  ;  
30C3;  KATAKANA LETTER SMALL TU;  30BF;  3;  t;  ;  ;  
30C4;  KATAKANA LETTER TU;  30BF;  3;  <02A6>;  u;  ;  
30C5;  KATAKANA LETTER DU;  30C0;  3;  <02A3>;  u;  ;  
30C6;  KATAKANA LETTER TE;  30BF;  4;  t;  e;  ;  
30C7;  KATAKANA LETTER DE;  30C0;  4;  d;  e;  ;  
30C8;  KATAKANA LETTER TO;  30BF;  5;  t;  o;  ;  
30C9;  KATAKANA LETTER DO;  30C0;  5;  d;  o;  ;  
30CA;  KATAKANA LETTER NA;  30CA;  1;  n;  a;  ;  
30CB;  KATAKANA LETTER NI;  30CA;  2;  n;  i;  ;  
30CC;  KATAKANA LETTER NU;  30CA;  3;  n;  u;  ;  
30CD;  KATAKANA LETTER NE;  30CA;  4;  n;  e;  ;  
30CE;  KATAKANA LETTER NO;  30CA;  5;  n;  o;  ;  
